name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Carshalton and Wallington,E14001153,Borough,England,E92000001,London,E12000007,2019-12-12,49098,629,72755
Castle Point,E14001154,Borough,England,E92000001,East of England,E12000006,2019-12-12,45217,27009,70923
Ceredigion Preseli,W07000093,County,Wales,W92000004,,,2019-12-12,51667,1443,74063
Chatham and Aylesford,E14001157,County,England,E92000001,South East,E12000008,2019-12-12,45809,18992,74840
Cheadle,E14001158,Borough,England,E92000001,North West,E12000002,2019-12-12,55903,2336,73775
Chelmsford,E14001159,Borough,England,E92000001,East of England,E12000006,2019-12-12,53826,15416,76454
Chelsea and Fulham,E14001160,Borough,England,E92000001,London,E12000007,2019-12-12,54781,8993,76481
Cheltenham,E14001161,Borough,England,E92000001,South West,E12000009,2019-12-12,56883,1421,75292
Chesham and Amersham,E14001162,County,England,E92000001,South East,E12000008,2019-12-12,53711,18216,74155
Mid Cheshire,E14001361,County,England,E92000001,North West,E12000002,2019-12-12,46907,2494,69775
Chester North and Neston,E14001163,County,England,E92000001,North West,E12000002,2019-12-12,53924,6391,72327
Chester South and Eddisbury,E14001164,County,England,E92000001,North West,E12000002,2019-12-12,55209,20826,71975
Chesterfield,E14001165,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,45186,1451,70722
Chichester,E14001166,County,England,E92000001,South East,E12000008,2019-12-12,51022,19622,76765
Chingford and Woodford Green,E14001167,Borough,England,E92000001,London,E12000007,2019-12-12,54606,1604,75677
Chippenham,E14001168,County,England,E92000001,South West,E12000009,2019-12-12,50519,13200,71648
Chipping Barnet,E14001169,Borough,England,E92000001,London,E12000007,2019-12-12,58422,4209,76187
Chorley,E14001170,County,England,E92000001,North West,E12000002,2019-12-12,39870,17392,74568
Christchurch,E14001171,County,England,E92000001,South West,E12000009,2019-12-12,51890,25034,71598
Cities of London and Westminster,E14001172,Borough,England,E92000001,London,E12000007,2019-12-12,52116,5976,73140
Clacton,E14001174,County,England,E92000001,East of England,E12000006,2019-12-12,45669,25717,75959
Clapham and Brixton Hill,E14001175,Borough,England,E92000001,London,E12000007,2019-12-12,48632,17291,75460
Clwyd East,W07000094,County,Wales,W92000004,,,2019-12-12,52820,5284,76395
Clwyd North,W07000095,County,Wales,W92000004,,,2019-12-12,51289,2834,76150
Coatbridge and Bellshill,S14000070,Burgh,Scotland,S92000003,,,2019-12-12,45896,5084,72507
